402,117
401,128
399,140
397,151
395,163
394,174
392,186
391,197
389,208
387,220
386,231
384,243
382,254
380,266
379,277
377,288
376,300
374,311
372,323
371,334
369,346
367,357
365,368
353,374
342,380
330,386
319,391
307,397
296,402
285,408
273,414
262,419
250,425
239,431
227,436
216,442
205,447
193,453
182,459
170,465
159,470
147,476
139,481
150,487
162,492
173,498
185,504
196,509
208,515
219,521
230,526
242,532
253,537
265,543
276,549
287,554
299,560
310,566
322,571
333,577
345,583
356,588
366,595
368,607
369,618
371,630
373,641
374,653
376,664
378,675
379,687
381,698
383,710
384,721
386,733
388,744
389,755
391,767
393,778
394,790
396,801
398,813
399,824
401,835
405,842
416,831
427,819
438,808
450,796
460,785
471,774
483,762
494,751
505,739
516,728
528,716
538,705
549,694
561,682
572,671
583,663
594,665
606,667
617,669
628,671
640,673
651,675
663,677
674,679
686,681
697,683
708,685
720,687
731,689
743,691
754,693
766,695
777,697
788,698
800,700
811,702
823,704
829,702
822,690
816,679
811,668
804,656
799,645
792,633
787,622
780,610
774,599
769,588
762,576
757,565
750,553
744,542
738,530
732,519
727,508
720,496
714,485
716,473
722,462
728,450
734,439
740,428
746,416
752,405
758,393
764,382
770,371
776,359
782,348
788,336
794,325
800,313
806,302
812,291
818,279
824,268
830,256
820,257
808,259
797,261
786,263
774,265
763,267
751,269
740,271
728,273
717,275
706,277
694,279
683,281
671,283
660,285
648,287
637,289
626,290
614,292
603,294
591,296
580,298
569,287
558,276
547,265
536,253
525,242
513,230
502,219
491,207
480,196
469,185
458,173
447,162
435,150
424,139
413,127
402,117
